wl,n
1.999965,1.333523
2.019832,1.344924
2.039697,1.357032
2.059956,1.363632
2.079787,1.366650
2.099578,1.369976
2.119750,1.376667
2.139871,1.383447
2.159928,1.390119
2.179907,1.396364
2.199792,1.401048
2.219567,1.404139
2.239701,1.408610
2.259712,1.412917
2.279582,1.416836
2.299804,1.416437
2.319870,1.415781
2.339760,1.419396
2.359995,1.423174
2.379490,1.426087
2.399865,1.428584
2.419463,1.430832
2.439957,1.434880
2.459634,1.439319
2.479631,1.440385
2.499956,1.441203
2.519392,1.443345
2.539754,1.446169
2.559817,1.448115
2.579557,1.449565
2.599603,1.450272
2.619964,1.451346
2.639973,1.451893
2.659609,1.453682
2.679539,1.455682
2.699770,1.456850
2.719595,1.457453
2.739714,1.458587
2.759398,1.460138
2.779367,1.460482
2.799627,1.460454
2.819417,1.460768
2.839490,1.460683
2.859850,1.461170
2.879705,1.463230
2.899837,1.464212
2.919430,1.464274
2.939290,1.464026
2.959423,1.464198
2.979833,1.464924
2.999657,1.465281
3.019749,1.465458
3.039220,1.465382
3.059845,1.466809
3.079839,1.467412
3.099168,1.466981
3.119680,1.465299
3.139514,1.464470
3.159603,1.463889
3.179950,1.462965
3.199573,1.461914
3.219440,1.460827
3.239556,1.459026
3.259923,1.455046
3.279512,1.450959
3.299337,1.447082
3.319404,1.440126
3.339716,1.427394
3.359189,1.410867
3.379993,1.384347
3.399940,1.371296
3.418996,1.425377
3.439408,1.547356
3.458911,1.563162
3.479804,1.523963
3.499770,1.532920
3.519965,1.582231
3.539187,1.583823
3.559841,1.557092
3.579502,1.543970
3.599382,1.537133
3.619482,1.531742
3.639810,1.527536
3.659074,1.525227
3.679850,1.524120
3.699542,1.522738
3.719447,1.521141
3.739566,1.519640
3.759905,1.518512
3.779088,1.517967
3.799860,1.517261
3.819453,1.516636
3.839251,1.516285
3.859255,1.515486
3.879468,1.515308
3.899893,1.515824
3.919054,1.515725
3.939901,1.515588
3.959457,1.515865
3.979208,1.515973
3.999159,1.515443
4.019309,1.514856
4.039663,1.514847
4.058638,1.515059
4.079393,1.514815
4.098742,1.514630
4.119911,1.514251
4.139647,1.513606
4.159573,1.513716
4.179692,1.514739
4.198306,1.515949
4.218802,1.515584
4.239500,1.514701
4.258652,1.514534
4.279743,1.514790
4.299261,1.515192
4.318957,1.515938
4.338835,1.515991
4.358898,1.515697
4.379145,1.515515
4.399582,1.515417
4.418329,1.515719
4.439133,1.516322
4.458219,1.516193
4.479404,1.516117
4.498836,1.515928
4.518438,1.515698
4.538214,1.515920
4.558161,1.516606
4.578285,1.517263
4.598589,1.517246
4.619072,1.517122
4.639740,1.517774
4.658497,1.517816
4.679521,1.517115
4.698603,1.516847
4.719989,1.517139
4.739404,1.517731
4.758979,1.517749
4.778717,1.517320
4.798619,1.516571
4.818687,1.516840
4.838927,1.518108
4.859332,1.519123
4.879913,1.518927
4.898354,1.518719
4.919267,1.519746
4.938008,1.520595
4.959262,1.520665
4.978310,1.520472
4.999913,1.520495
5.019271,1.521702
5.038784,1.521853
5.058448,1.521615
5.078264,1.521538
5.098238,1.521163
5.118370,1.521035
5.138662,1.521434
5.159112,1.521213
5.179729,1.521710
5.197902,1.522582
5.218831,1.523174
5.239928,1.522900
5.258528,1.522997
5.279948,1.523722
5.298833,1.524213
5.317853,1.524114
5.339761,1.524832
5.359080,1.525046
5.378536,1.524138
5.398134,1.523564
5.417878,1.524024
5.437765,1.523676
5.457797,1.523758
5.477981,1.524619
5.498312,1.524891
5.518794,1.524488
5.539433,1.524845
5.557244,1.525459
5.578169,1.525619
5.599255,1.525219
5.617454,1.525486
5.638835,1.525282
5.657293,1.525000
5.678979,1.525973
5.697701,1.526245
5.719701,1.526386
5.738693,1.526539
5.757811,1.527148
5.777058,1.527764
5.799673,1.527810
5.819201,1.526995
5.838860,1.526097
5.858653,1.525738
5.878580,1.525077
5.898644,1.524693
5.918844,1.524617
5.939184,1.525829
5.959664,1.526292
5.976840,1.526505
5.997581,1.527027
6.018466,1.528129
6.039497,1.528566
6.057137,1.528113
6.078440,1.527968
6.099893,1.526983
6.117884,1.525812
6.139617,1.524911
6.157848,1.524926
6.179866,1.526205
6.198337,1.526078
6.216918,1.525998
6.239362,1.526780
6.258186,1.524448
6.277129,1.523654
6.296186,1.523738
6.319207,1.525563
6.338517,1.526667
6.357950,1.526880
6.377502,1.527405
6.397171,1.527445
6.416965,1.526361
6.436883,1.524904
6.456924,1.525010
6.477087,1.524288
6.497380,1.523363
6.517800,1.523863
6.538345,1.524067
6.559024,1.523609
6.579835,1.521997
6.596576,1.520289
6.617626,1.519277
6.638806,1.518256
6.655853,1.516330
6.677279,1.514237
6.698848,1.511263
6.716201,1.507546
6.738022,1.500805
6.759986,1.489327
6.777658,1.484463
6.799881,1.494153
6.817762,1.512140
6.835737,1.538224
6.858344,1.563647
6.876539,1.564276
6.899411,1.558579
6.917825,1.555691
6.936333,1.553286
6.959611,1.550696
6.978343,1.549753
6.997176,1.550368
7.016116,1.549214
7.039928,1.547434
7.059101,1.546002
7.078373,1.543808
